   100    0.27176E+04    0.74572E+00   -0.23001E+02    0.44923E+07    0.58848E+04
   101    0.27493E+04    0.75984E+00   -0.23652E+02    0.44635E+07    0.57982E+04
   102    0.27811E+04    0.77380E+00   -0.24302E+02    0.44348E+07    0.57120E+04
   103    0.28131E+04    0.78759E+00   -0.24952E+02    0.44063E+07    0.56264E+04
   104    0.28453E+04    0.80119E+00   -0.25601E+02    0.43779E+07    0.55413E+04
   105    0.28777E+04    0.81460E+00   -0.26249E+02    0.43497E+07    0.54570E+04
   106    0.29103E+04    0.82781E+00   -0.26894E+02    0.43216E+07    0.53735E+04
   107    0.29430E+04    0.84079E+00   -0.27537E+02    0.42938E+07    0.52909E+04
   108    0.29759E+04    0.85353E+00   -0.28177E+02    0.42660E+07    0.52095E+04
   109    0.30090E+04    0.86603E+00   -0.28814E+02    0.42385E+07    0.51293E+04
   110    0.30423E+04    0.87827E+00   -0.29446E+02    0.42112E+07    0.50503E+04
   111    0.30757E+04    0.89024E+00   -0.30074E+02    0.41840E+07    0.49729E+04
   112    0.31092E+04    0.90192E+00   -0.30696E+02    0.41570E+07    0.48969E+04
   113    0.31429E+04    0.91330E+00   -0.31313E+02    0.41302E+07    0.48227E+04
   114    0.31767E+04    0.92437E+00   -0.31924E+02    0.41036E+07    0.47502E+04
   115    0.32106E+04    0.93512E+00   -0.32528E+02    0.40772E+07    0.46795E+04
   116    0.32447E+04    0.94553E+00   -0.33125E+02    0.40510E+07    0.46104E+04
   117    0.32788E+04    0.95560E+00   -0.33714E+02    0.40250E+07    0.45429E+04
   118    0.33131E+04    0.96532E+00   -0.34294E+02    0.39992E+07    0.44769E+04
   119    0.33475E+04    0.97466E+00   -0.34866E+02    0.39735E+07    0.44124E+04
   120    0.33819E+04    0.98363E+00   -0.35427E+02    0.39481E+07    0.43492E+04
   121    0.34164E+04    0.99220E+00   -0.35979E+02    0.39229E+07    0.42874E+04
   122    0.34510E+04    0.10004E+01   -0.36520E+02    0.38978E+07    0.42268E+04
   123    0.34857E+04    0.10081E+01   -0.37049E+02    0.38730E+07    0.41674E+04
   124    0.35204E+04    0.10155E+01   -0.37567E+02    0.38483E+07    0.41091E+04
   125    0.35552E+04    0.10224E+01   -0.38072E+02    0.38239E+07    0.40519E+04
   126    0.35900E+04    0.10288E+01   -0.38564E+02    0.37996E+07    0.39956E+04
   127    0.36249E+04    0.10348E+01   -0.39043E+02    0.37755E+07    0.39403E+04
   128    0.36598E+04    0.10404E+01   -0.39508E+02    0.37516E+07    0.38858E+04
   129    0.36947E+04    0.10455E+01   -0.39958E+02    0.37279E+07    0.38323E+04
   130    0.37296E+04    0.10501E+01   -0.40393E+02    0.37044E+07    0.37796E+04
   131    0.37645E+04    0.10543E+01   -0.40813E+02    0.36811E+07    0.37277E+04
   132    0.37994E+04    0.10580E+01   -0.41217E+02    0.36580E+07    0.36767E+04
   133    0.38343E+04    0.10612E+01   -0.41605E+02    0.36350E+07    0.36266E+04
   134    0.38692E+04    0.10640E+01   -0.41976E+02    0.36122E+07    0.35772E+04
   135    0.39040E+04    0.10664E+01   -0.42330E+02    0.35896E+07    0.35287E+04
